danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,names
0.954,0.479,-7.843,0.352,0.0139,2.1e-06,0.0677,0.358,103.925,1ihBMg1KvVP85LHh9foaf4,122308,POP
0.622,0.655,-8.385,0.0388,0.0755,0.0,0.0992,0.286,102.984,1UWEafiPTYY6Ym2GKxTCGg,177162,POP
0.847,0.559,-5.252,0.0498,0.000401,0.688,0.0913,0.476,108.004,0umAduzH6cuIMorxfeGtUN,92328,Pop like this Pt. 2 - Sped Up
0.765,0.737,-3.102,0.162,0.283,0.22,0.22,0.823,189.81,45GrdwGqP4qIV4XkUePopS,186429,POP
0.732,0.992,-5.377,0.0992,0.213,0.92,0.0895,0.716,159.976,0iZYdGkLpdEvM3igcyVKFj,235875,pop a pill
0.816,0.722,-4.402,0.343,0.0746,2.18e-06,0.357,0.906,103.937,4JYFFgmy2ZZWvhCh8aZbjP,152384,Pop
0.494,0.647,-14.713,0.036,0.00065,0.0374,0.161,0.846,147.739,2hiVTcHbcpPgOPOvoAJ5qB,152753,Popstar
0.682,0.532,-7.945,0.291,0.172,1.05e-06,0.0699,0.56,77.989,3D3mz2uMaOmxjlLp9yjW1h,155385,POP
0.719,0.788,-6.428,0.0284,0.023,0.0,0.0918,0.751,133.58,4FXSEdmbbeGmPIQltH27C8,151867,Pop
0.619,0.914,-5.651,0.26,0.0675,0.0,0.11,0.395,116.161,3ZdwCZtXWJjMqHlSFgYfIg,233793,Prequel
0.741,0.599,-6.672,0.419,0.00961,0.0,0.785,0.276,139.891,61N12G2IDag927XDCmMDr8,227474,POP
0.813,0.551,-6.698,0.286,0.0314,0.0,0.108,0.68,77.509,6eLY5NX9HkvAtrvRrPOW0F,173806,Poppin
0.588,0.484,-7.058,0.153,0.0219,0.0,0.156,0.337,161.178,5KzobobnQb7UZXKOUT249o,109430,Pop
0.613,0.794,-4.86,0.0314,0.0142,0.0,0.0565,0.652,139.983,5FqzgZGAo9XK79jA8nkm0q,219200,"Poppe, Kaate, Danze - Radio Version"
0.662,0.736,-8.819,0.244,0.183,0.801,0.128,0.183,150.07,5MbvspF065NSXrVuecXsjs,104168,POP
0.891,0.67,-7.256,0.135,0.203,0.00273,0.11,0.938,128.046,0widrZ6KVNuIPhbM1rWPDR,184222,Pop Star
0.895,0.721,-6.296,0.0423,0.0908,2.46e-06,0.105,0.836,138.006,51VLqRIxEjfT6guWSxEElY,149710,Pop
0.622,0.0904,-24.54,0.0583,0.993,0.897,0.0886,0.655,120.325,5rpkYHBqreIuzSVrYWcNa1,89613,Poppy Puppy
0.658,0.76,-6.509,0.0322,0.0388,0.0,0.127,0.534,121.973,6QJbjDtSrVgDijIQ34l6Dx,197336,Pop
0.671,0.99,-4.809,0.0463,0.0124,0.825,0.0981,0.565,128.009,5iKLlfPhEzinVn67cXfDZM,141680,Popcorn - Rework
0.954,0.479,-7.843,0.352,0.0139,2.1e-06,0.0677,0.358,103.925,3KCsVnoete7IGXDXCj0A4w,122308,POP
0.805,0.798,-9.361,0.0476,0.0271,0.895,0.105,0.378,111.996,5zV3BRC06QQ4Y5kq9go3Xr,484546,PoP
0.839,0.851,-6.713,0.138,0.0374,0.0,0.109,0.926,119.977,0yRZqco2Jy8z6KAYlI6qcZ,238427,Pop
0.635,0.643,-8.492,0.155,0.208,0.000154,0.453,0.642,159.952,1IkEE9PQVeQ563gWfJ4moA,182363,POP
0.808,0.688,-8.964,0.0493,0.115,0.0251,0.114,0.377,120.039,7itGrDB969S4fJc4GDodiA,138036,POPSTAR
0.856,0.834,-7.781,0.145,0.0302,0.0,0.21,0.949,120.015,4rdIpqVK9rGnrUZJEEACjU,237587,Pop
0.823,0.946,-7.685,0.108,0.066,0.148,0.0744,0.851,127.995,4J5KCUFanJFj0RSniGSzGh,176250,Pop
0.528,0.846,-4.217,0.155,0.0294,5.66e-05,0.588,0.283,110.092,3HGnsaw8bbv1a7bIFk5NDY,173507,Pop
0.744,0.703,-8.111,0.048,0.0195,0.00449,0.141,0.819,125.023,3fvsxmytTns1ApIWBqfANZ,172197,Temptation (feat. Poppy Baskcomb)
0.842,0.0389,-22.093,0.173,0.943,0.839,0.0642,0.755,100.008,3SZTlj5DdhfkQzz8TDfMH8,135233,Pop
0.844,0.677,-6.216,0.158,0.0406,8.32e-05,0.407,0.841,98.995,67gUqq3wVAztSquOpNZ4Xs,215467,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)
0.849,0.838,-4.01,0.0559,0.00278,4.66e-06,0.21,0.602,128.005,2FzMEX0nP9tFd6phID2tm8,194158,POP
0.631,0.315,-10.606,0.0459,0.809,0.0,0.151,0.335,144.87,4wW79p4e4hjTpHVQX3Znoy,138439,Pop
0.551,0.655,-7.329,0.336,0.0599,0.0,0.0941,0.619,182.71,3ZXSORvoHYaQX5TgUdkqML,96613,Popcorn
0.6,0.586,-11.863,0.144,0.0575,0.0,0.334,0.759,83.899,2RIcNuro82DH23o2EEdBIo,210814,Pop
0.707,0.774,-4.28,0.0484,0.405,0.0,0.613,0.506,140.012,254AnlO6Fr8ge2hH0nywp7,234955,Alles was ich hab
0.422,0.656,-7.497,0.163,0.000565,0.901,0.363,0.134,125.892,22HWNjVCg0kvlRcqA2AVKP,140952,POP
0.726,0.597,-8.441,0.278,0.371,2.09e-05,0.105,0.528,80.078,2nv61bSKMTqOSFH7e0N8jL,173915,Popeye
0.719,0.669,-6.681,0.111,0.0013,2.32e-06,0.749,0.151,150.16,42oZ6VPxsgLLGfYb1TTEYJ,101906,Pop
0.646,0.876,-6.444,0.197,0.00267,0.0,0.171,0.293,122.958,0NFBQhVLlzeY8ry9jUgHy2,185000,POP
0.822,0.969,-11.471,0.0582,0.259,0.000153,0.39,0.765,128.007,4GewRLEiI4BDTQsoH8BRVV,283748,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio
0.406,0.312,-13.478,0.0697,0.31,0.00382,0.111,0.0595,143.831,77lVSrDVVjO7jt2P09UItx,199216,POP
0.546,0.897,-3.067,0.162,0.026,0.0,0.14,0.642,173.187,1jVXXu8W4iny6MRkxKxxPI,191415,Voices In My Head
0.754,0.516,-8.619,0.206,0.462,3.9e-06,0.141,0.607,103.92,5hl7ya200utFGWtsY8HApb,168812,Pop
0.779,0.532,-9.112,0.178,0.124,0.0,0.128,0.324,161.045,1gCBVvdsK5TsSUjXg3hGm2,191530,Poppin Smoke
0.631,0.809,-3.992,0.0392,0.0271,0.0,0.156,0.396,114.979,5TitlfXWCr7vvMkHEayJKp,195130,Pop
0.394,0.784,-5.902,0.132,0.0135,0.0,0.216,0.341,161.95,1SlxMFZexm81T0tUK6mwni,203948,Watch The World Burn
0.695,0.893,-5.288,0.0511,7.38e-05,2.01e-05,0.0864,0.821,132.015,6GrWJnpm3BmlDLnVRbtljY,230611,POP
0.361,0.945,-3.481,0.0801,0.00127,0.0,0.185,0.782,131.998,334409Qvmqf5tBqbA7PtxQ,142045,Trigger Warning
0.39,0.659,-7.0,0.0286,0.196,0.16,0.338,0.552,82.007,0xkQx0rU3xSz7ZMPNUFWaW,207920,Pop
